طلبان,h,,0
طلب,h,,0
گرایی,h,,0
گرایان,h,,0
شناسی,h,,0
شناسان,h,,0
گذاری,h,,0
گذار,h,,0
گذاران,h,,0
بندی,a,ب|پ,1
آوری,h,,0
سازی,h,,0
کننده,h,,0
کنندگان,h,,0
پرداز,h,,0
پردازی,h,,0
پردازان,h,,0
آمیز,h,,0
سنجی,h,,0
ریزی,h,,0
داری,h,,0
دار,h,,0
دهنده,h,,0
آمیز,h,,0
پذیری,a,ب|پ,0
ذیری,a,ب|پ,0
پذیران,a,ب|پ,0
گر,a,ه,0
ریز,h,,0
آسا,h,,0
آگین,h,,0
زار,h,,0
ریزی,h,,0
فام,h,,0
رسانی,h,,0
یاب,h,,0
یابی,h,,0
گانه,h,,0
گانه‌ای,h,,0
انگاری,h,,0
بند,a,ب|پ,1
بند,a,ب|پ,1
رسانی,h,,0
دهندگان,h,,0
هایی,h,,1
ها,h,,1
های,h,,1
ایی,h,,1
ای,h,,1
ی,h,,1
هایم,h,,1
هایت,h,,1
هایش,h,,1
هایمان,h,,1
هایتان,h,,1
هایشان,h,,1
گین,a,گ|ک,0
مند,a,م|ن,1
ین,a,,0
ینه,a,,0
بان,a,ه|ی,0
دان,a,ه,0
سار,a,ی|س,0
ستان,a,ی|س,0
سرا,a,س|ه,0
کده,a,ک,0
گار,a,,0
گان,a,ه,0
گاه,a,ه,0
گر,a,ه,0
ناک,a,ن,0
لاخ,a,ل|ه,0
مان,h,,0
تان,h,,0
شان,h,,0
انه,a,,0
گری,a,ه|ی,0
گانی,a,,0
گون,a,,0
وار,a,ه|ی,0
واره,a,ه|ی,0
واری,a,ه|ی,0
وانه,a,ه|ی,0
ور,a,ه|ی,0
وش,a,ه|ی,0
وند,a,ه|ی,0
دوز,a,ی|ه,0
دوزی,a,ی|ه,0
افزار,h,,0
افزاری,h,,0
انداز,h,,0
اندازی,h,,0
آباد,h,,0
آموز,h,,0
آموزی,h,,0
آمیز,h,,0
آمیزی,h,,0
آور,h,,0
آوری,h,,0
پذیر,h,,0
پذیری,h,,0
پرداز,h,,0
پردازی,h,,0
پرور,h,,0
پروری,h,,0
سازی,h,,0
شناس,h,,0
شناسی,h,,0
گرا,h,,0
گرایی,h,,0
گشا,h,,0
گشایی,h,,0
نویس,h,,0
نویسی,h,,0
گیری,h,,دست
ترین,h,,به|بیش
تر,h,,به|بیش
